Thoi_gian,Bien_so,Do_chuan_xac,Trang_thai
2026-03-05 10:17:55,W00U,0.70,DEMO
2026-03-05 10:17:55,Q00,0.72,DEMO
2026-03-05 10:17:55,W00U,0.59,DEMO
2026-03-05 10:17:56,Q00U,0.76,DEMO
2026-03-05 10:17:56,2007,0.98,DEMO
2026-03-05 10:17:57,Z700,0.89,DEMO
2026-03-05 10:17:57,Z05H07,0.98,DEMO
2026-03-05 10:17:58,QZ0507,0.98,DEMO
2026-03-05 10:17:58,QZ00,0.95,DEMO
2026-03-05 10:17:58,Q05H0UB,1.00,DEMO
2026-03-05 10:17:58,Q05H073,0.99,DEMO
2026-03-05 10:17:58,Q05H0U,0.99,DEMO
2026-03-05 10:17:59,Q05H07,0.96,DEMO
2026-03-05 10:17:59,Q05H0U,0.96,DEMO
2026-03-05 10:17:59,Q0H0,0.91,DEMO
2026-03-05 10:17:59,LL5H007,0.85,DEMO
2026-03-05 10:17:59,L007,0.95,DEMO
2026-03-05 10:18:00,QZ0073,0.94,DEMO
2026-03-05 10:18:17,Q00,0.95,DEMO
2026-03-05 10:18:17,Q007,1.00,DEMO
2026-03-05 10:18:17,75U0,0.51,DEMO
2026-03-05 10:18:17,475HDT009,1.00,DEMO
2026-03-05 10:18:17,Z75HDFW003,1.00,DEMO
2026-03-05 10:18:18,7050T,1.00,DEMO
2026-03-05 10:18:18,700T,1.00,DEMO
2026-03-05 10:18:20,700,0.99,DEMO
2026-03-05 10:18:20,00,0.99,DEMO
2026-03-05 10:18:20,700,0.99,DEMO
2026-03-05 10:18:20,00,0.98,DEMO
2026-03-05 10:18:21,700T,0.99,DEMO
2026-03-05 10:18:21,00T,0.98,DEMO
2026-03-05 10:18:21,700,0.99,DEMO
2026-03-05 10:18:21,00,0.99,DEMO
2026-03-05 10:18:21,W700,0.99,DEMO
2026-03-05 10:18:22,W00,0.99,DEMO
2026-03-05 10:18:22,700T,0.94,DEMO
2026-03-05 10:18:22,705H0T,0.92,DEMO
2026-03-05 10:18:22,700T,0.99,DEMO
2026-03-05 10:18:24,7500,0.67,DEMO
2026-03-05 10:18:26,705H0T,0.72,DEMO
2026-03-05 10:18:26,Q700U,0.53,DEMO
2026-03-05 10:18:27,Q00U,0.83,DEMO
2026-03-05 10:18:27,Q00U9,0.69,DEMO
2026-03-05 10:18:28,Q00U,0.76,DEMO
2026-03-05 10:18:28,Q00U9,0.75,DEMO
2026-03-05 10:18:28,Q00U,0.72,DEMO
2026-03-05 10:18:28,Q00U9,0.74,DEMO
2026-03-05 10:18:29,Q00U,0.78,DEMO
2026-03-05 10:18:29,Q00U9,0.74,DEMO
2026-03-05 10:18:29,Q00U,0.74,DEMO
2026-03-05 10:18:30,QU0UN,0.72,DEMO
2026-03-05 10:18:30,Q00UN,0.77,DEMO
2026-03-05 10:18:30,Q00U,0.75,DEMO
2026-03-05 10:18:33,Q00,0.79,DEMO
2026-03-05 10:18:33,Q00U,0.76,DEMO
2026-03-05 10:18:34,Q,0.81,DEMO
2026-03-05 10:18:34,QQ,0.64,DEMO
2026-03-05 10:18:34,QUUC,0.71,DEMO
2026-03-05 10:18:34,7U5WU,0.85,DEMO
2026-03-05 10:18:36,B,0.71,DEMO
2026-03-05 10:18:39,00,0.76,DEMO
2026-03-05 10:18:39,Q00,0.80,DEMO
2026-03-05 10:18:41,0U,0.84,DEMO
2026-03-05 10:18:41,00,0.72,DEMO
2026-03-05 10:18:41,Q00,0.81,DEMO
2026-03-05 10:18:55,37077,0.92,DEMO
2026-03-05 10:18:55,30E777,0.83,DEMO
2026-03-05 10:18:56,73U77,0.69,DEMO
2026-03-05 10:18:56,7B0E773,0.62,DEMO
2026-03-05 10:18:59,730E773,0.58,DEMO
2026-03-05 10:19:00,Z3E777,0.93,DEMO
2026-03-05 10:19:00,73E777,0.95,DEMO
2026-03-05 10:19:01,Z7377,0.92,DEMO
2026-03-05 10:19:01,77377,0.92,DEMO
2026-03-05 10:19:01,737,0.89,DEMO
2026-03-05 10:19:01,77,0.87,DEMO
2026-03-05 10:19:02,7377,0.89,DEMO
2026-03-05 10:19:02,777,0.89,DEMO
2026-03-05 10:19:03,77,0.88,DEMO
2026-03-05 10:19:03,777,0.87,DEMO
2026-03-05 10:19:03,737,0.86,DEMO
2026-03-05 10:19:03,77,0.87,DEMO
2026-03-05 10:19:03,777,0.88,DEMO
2026-03-05 10:19:03,7377,0.91,DEMO
2026-03-05 10:19:04,77373,0.90,DEMO
2026-03-05 10:19:04,7377,0.90,DEMO
2026-03-05 10:19:04,77,0.87,DEMO
2026-03-05 10:19:04,777,0.81,DEMO
2026-03-05 10:19:05,7377,0.79,DEMO
2026-03-05 10:19:05,77373,0.73,DEMO
2026-03-05 10:19:05,7377,0.77,DEMO
2026-03-05 10:19:06,7773,0.77,DEMO
2026-03-05 10:19:06,7377,0.51,DEMO
2026-03-05 10:19:06,77,0.54,DEMO
2026-03-05 10:19:07,777,0.92,DEMO
2026-03-05 10:19:07,Z7,0.91,DEMO
2026-03-05 10:19:07,77,0.92,DEMO
2026-03-05 10:19:07,7,0.92,DEMO
2026-03-05 10:19:07,77,0.90,DEMO
2026-03-05 10:19:08,7,0.84,DEMO
2026-03-05 10:19:12,Z,0.59,DEMO
2026-03-05 10:19:13,7377,0.69,DEMO
2026-03-05 10:19:14,77,0.83,DEMO
2026-03-05 10:19:14,773,0.85,DEMO
2026-03-05 10:19:15,77,0.73,DEMO
2026-03-05 10:19:15,773,0.75,DEMO
2026-03-05 10:19:16,7,0.69,DEMO
2026-03-05 10:19:17,77E,0.68,DEMO
2026-03-05 10:19:17,7,0.53,DEMO
2026-03-05 10:19:17,7377,0.54,DEMO
2026-03-05 10:19:19,30E777,0.70,DEMO
2026-03-05 10:19:21,7377,0.57,DEMO
2026-03-05 10:19:23,777,0.66,DEMO
2026-03-05 10:19:23,73E77,0.59,DEMO
2026-03-05 10:19:23,777,0.61,DEMO
2026-03-05 10:19:23,7377,0.56,DEMO
2026-03-05 10:19:25,73E77,0.65,DEMO
2026-03-05 10:19:26,7377,0.57,DEMO
2026-03-05 10:19:26,73E77,0.67,DEMO
2026-03-05 10:19:26,777,0.74,DEMO
2026-03-05 10:19:26,7377,0.77,DEMO
2026-03-05 10:19:27,777,0.72,DEMO
2026-03-05 10:19:27,77,0.70,DEMO
2026-03-05 10:19:27,777,0.76,DEMO
2026-03-05 10:19:27,7377,0.79,DEMO
2026-03-05 10:19:27,77,0.77,DEMO
2026-03-05 10:19:28,7377,0.73,DEMO
2026-03-05 10:27:07,99E72Z68,0.55,Tu choi
2026-03-05 10:27:07,99E7ZZ68,0.76,Tu choi
2026-03-05 10:27:07,99E7Z268,0.83,Tu choi
2026-03-05 10:27:08,99E7ZZ67,0.68,Tu choi
2026-03-05 10:27:09,99E7ZZ6,0.76,Tu choi
2026-03-05 10:27:09,99E72226,0.77,Tu choi
2026-03-05 10:27:09,99E7226,0.76,Tu choi
2026-03-05 10:27:09,99E72226,0.78,Tu choi
2026-03-05 10:27:10,99E7Q226,0.70,Tu choi
2026-03-05 10:27:10,99E72ZZ6,0.73,Tu choi
2026-03-05 10:27:11,99EZZ6,0.87,Tu choi
2026-03-05 10:27:12,99E72Z6,0.85,Tu choi
2026-03-05 10:27:12,99E7Z26,0.88,Tu choi
2026-03-05 10:27:12,99E7226,0.88,Tu choi
2026-03-05 10:27:14,99E7ZZ6,0.83,Tu choi
2026-03-05 10:27:15,99ETZZ6,0.85,Tu choi
2026-03-05 10:27:16,P9EZZ,0.62,Tu choi
2026-03-05 10:27:16,99E7ZZ6H,0.79,Tu choi
2026-03-05 10:27:16,99E7ZZ6,0.77,Tu choi
2026-03-05 10:27:16,99E72Z6,0.82,Tu choi
2026-03-05 10:27:17,99E7ZZ6,0.77,Tu choi
2026-03-05 10:27:17,99E7Z26,0.80,Tu choi
2026-03-05 10:27:17,99E722Z6,0.80,Tu choi
2026-03-05 10:27:18,99E72226,0.82,Tu choi
2026-03-05 10:27:18,99E722Z6,0.82,Tu choi
2026-03-05 10:27:18,99E72Z26,0.80,Tu choi
2026-03-05 10:27:19,99E72226,0.78,Tu choi
2026-03-05 10:27:19,99E72Z6,0.83,Tu choi
2026-03-05 10:27:19,99E7226,0.83,Tu choi
2026-03-05 10:27:20,99E72226,0.78,Tu choi
2026-03-05 10:27:21,99E722Z6,0.83,Tu choi
2026-03-05 10:27:21,99E72226,0.82,Tu choi
2026-03-05 10:27:21,99E7226,0.82,Tu choi
2026-03-05 10:27:25,99E72Z6,0.78,Tu choi
2026-03-05 10:27:25,99E7226,0.82,Tu choi
2026-03-05 10:27:25,99E7ZZ6,0.85,Tu choi
2026-03-05 10:27:26,99ET2Z6,0.81,Tu choi
2026-03-05 10:27:26,99ETZZ6,0.78,Tu choi
2026-03-05 10:27:29,99EFZZ6,0.84,Tu choi
2026-03-05 10:27:29,99EFZZS,0.79,Tu choi
2026-03-05 10:27:29,99EFZZ6,0.82,Tu choi
2026-03-05 10:27:30,99EFZZS,0.86,Tu choi
2026-03-05 10:27:30,99EFZZ6,0.84,Tu choi
2026-03-05 10:27:30,99EFZZS,0.83,Tu choi
2026-03-05 10:27:31,99EFZZ6,0.83,Tu choi
2026-03-05 10:27:31,99EEZZ6,0.82,Tu choi
2026-03-05 10:27:32,99EZZ6,0.79,Tu choi
2026-03-05 10:27:32,99EFZZ6,0.79,Tu choi
2026-03-05 10:27:32,99EZZ6,0.84,Tu choi
2026-03-05 10:27:32,99EZZS,0.83,Tu choi
2026-03-05 10:27:33,99EZZ6,0.83,Tu choi
2026-03-05 10:27:33,99ETZZS,0.80,Tu choi
2026-03-05 10:27:33,99ET2Z6,0.81,Tu choi
2026-03-05 10:27:33,99EZZ6,0.82,Tu choi
2026-03-05 10:27:37,730E77S,0.57,Tu choi
2026-03-05 10:27:38,73UE779,0.77,Tu choi
2026-03-05 10:27:39,730E779,0.65,Tu choi
2026-03-05 10:27:44,730E779,0.52,Tu choi
2026-03-05 10:27:45,73UE7793,0.59,Tu choi
2026-03-05 10:27:45,73UE779,0.59,Tu choi
2026-03-05 10:27:48,ZZ5HDQ0077,0.64,Tu choi
2026-03-05 10:27:48,75HDFQU0,0.83,Tu choi
2026-03-05 10:27:48,75HDF1UU,0.83,Tu choi
2026-03-05 10:27:49,75HDUUE,0.73,Tu choi
2026-03-05 10:27:50,QZ5HD700UZ,0.72,Tu choi
2026-03-05 10:27:50,Z5HD7Q00U9,0.62,Tu choi
2026-03-05 10:27:50,Z5HD7Q00U,0.65,Tu choi
2026-03-05 10:27:50,Z5HD7Q00U9,0.52,Tu choi
2026-03-05 10:27:51,Z5HD7Q00UB,0.66,Tu choi
2026-03-05 10:27:51,Z5HD7Q00U9,0.66,Tu choi
2026-03-05 10:27:52,Z5HD7Q00U,0.67,Tu choi
2026-03-05 10:27:52,Z5HD7Q00UQ,0.54,Tu choi
2026-03-05 10:27:53,Z5HD7Q00U,0.56,Tu choi
2026-03-05 10:27:53,Z5HD7Q007,0.67,Tu choi
2026-03-05 10:27:53,Z5HDQ00U,0.71,Tu choi
2026-03-05 10:27:54,Z5HDTQ00,0.60,Tu choi
2026-03-05 10:27:54,75HDUQUUT,0.74,Tu choi
2026-03-05 10:27:54,75HDUL00T,0.89,Tu choi
2026-03-05 10:27:54,75HDU00T,0.58,Tu choi
2026-03-05 10:27:55,75HDUL00T,0.55,Tu choi
2026-03-05 10:27:55,75HDTLU0T,0.68,Tu choi
2026-03-05 10:27:55,75HDT0U,0.72,Tu choi
2026-03-05 10:27:56,75HDT00T,0.78,Tu choi
2026-03-05 10:27:56,75HDUQ00U,0.63,Tu choi
2026-03-05 10:27:56,75HDTQ00U,0.57,Tu choi
2026-03-05 10:28:06,DFUF,0.59,Tu choi
2026-03-05 10:28:06,D5HD073,0.81,Tu choi
2026-03-05 10:28:06,5HDTU0E,0.93,Tu choi
2026-03-05 10:28:07,75HTL00E,0.99,Tu choi
2026-03-05 10:28:07,75HDTLU0E,0.98,Tu choi
2026-03-05 10:28:07,75HDTL00E,0.97,Tu choi
2026-03-05 10:28:08,75HDFUUC,0.98,Tu choi
2026-03-05 10:28:08,75HDTU0,0.95,Tu choi
2026-03-05 10:28:08,75HDT03T,0.95,Tu choi
2026-03-05 10:28:08,75HDT0UE,0.94,Tu choi
2026-03-05 10:28:09,75HUR00TE,0.86,Tu choi
2026-03-05 10:28:10,75H0T00E,0.99,Tu choi
2026-03-05 10:28:11,75HDTU0E,0.97,Tu choi
2026-03-05 10:28:11,75HDTLU0E,0.99,Tu choi
2026-03-05 10:28:11,75H0TUUTE,0.98,Tu choi
2026-03-05 10:28:12,75HDTU0,0.98,Tu choi
2026-03-05 10:28:12,75HDTQUU,0.99,Tu choi
2026-03-05 10:28:12,75HDT00E,0.99,Tu choi
2026-03-05 10:28:12,75HT0UE,0.97,Tu choi
2026-03-05 10:28:13,75HBT0UE,0.99,Tu choi
2026-03-05 10:28:13,75HDT00E,0.98,Tu choi
2026-03-05 10:28:14,75HDT0UE,0.99,Tu choi
2026-03-05 10:28:14,75HTQ00E,0.99,Tu choi
2026-03-05 10:34:14,30E777ES,0.86,Tu choi
2026-03-05 10:34:14,30E7779S,0.59,Tu choi
2026-03-05 10:34:18,E0E771,0.74,Tu choi
2026-03-05 10:34:18,BUE77I9S,0.70,Tu choi
2026-03-05 10:34:19,BUE7779S,0.80,Tu choi
2026-03-05 10:34:19,3UE77I9S,0.80,Tu choi
2026-03-05 10:34:20,EUE177E,0.59,Tu choi
2026-03-05 10:34:20,EUE777ES,0.67,Tu choi
2026-03-05 10:34:20,3UE77IES,0.65,Tu choi
2026-03-05 10:34:20,30E7779S,0.70,Tu choi
2026-03-05 10:34:20,30E77I9S,0.62,Tu choi
2026-03-05 10:34:21,30E7779S,0.67,Tu choi
2026-03-05 10:34:22,30E77I9S,0.71,Tu choi
2026-03-05 10:34:22,30E7779S,0.71,Tu choi
2026-03-05 10:34:23,30E77I9S,0.78,Tu choi
2026-03-05 10:34:23,30E7779S,0.68,Tu choi
2026-03-05 10:34:24,30E77I9S,0.79,Tu choi
2026-03-05 10:34:24,30E7779S,0.81,Tu choi
2026-03-05 10:34:25,30E7719S,0.82,Tu choi
2026-03-05 10:34:25,30E7779S,0.80,Tu choi
2026-03-05 10:34:26,3UE1II9S,0.81,Tu choi
2026-03-05 10:34:27,B0E7719S,0.78,Tu choi
2026-03-05 10:34:27,B0E7779S,0.70,Tu choi
2026-03-05 10:34:27,30E7779S,0.66,Tu choi
2026-03-05 10:34:28,30E777E,0.56,Tu choi
2026-03-05 10:34:28,3UE777S,0.65,Tu choi
2026-03-05 10:34:28,30E777SS,0.61,Tu choi
2026-03-05 10:34:29,E777,0.64,Tu choi
2026-03-05 10:34:29,30E7779S,0.60,Tu choi
2026-03-05 10:34:31,30E777ES,0.61,Tu choi
2026-03-05 10:34:32,BUE7IIBS,0.69,Tu choi
2026-03-05 10:34:32,30E77IS,0.59,Tu choi
2026-03-05 10:34:33,BUEIIIE5,0.67,Tu choi
2026-03-05 10:34:33,3UEII7E,0.77,Tu choi
2026-03-05 10:34:33,BUE7779S,0.86,Tu choi
2026-03-05 10:34:34,UE7779S,0.61,Tu choi
2026-03-05 10:34:34,30E7779S,0.52,Tu choi
2026-03-05 10:34:34,3UE7779S,0.53,Tu choi
2026-03-05 10:34:35,30E7779S,0.50,Tu choi
2026-03-05 10:34:36,3DE7779S,0.52,Tu choi
2026-03-05 10:34:36,30E77796,0.52,Vao
2026-03-05 10:36:57,30E711S8,0.69,Tu choi
2026-03-05 10:36:57,3UEI7I96,0.73,Tu choi
2026-03-05 10:36:58,LBUEI7I96,0.66,Tu choi
2026-03-05 10:36:58,BUE77I96,0.81,Tu choi
2026-03-05 10:36:58,BUE77I9S,0.82,Tu choi
2026-03-05 10:36:59,BUEI779S,0.78,Tu choi
2026-03-05 10:36:59,3UE7779S,0.73,Tu choi
2026-03-05 10:36:59,30E7779S,0.63,Vao
2026-03-05 10:36:59,E0E777S,0.52,Tu choi
2026-03-05 10:37:00,30E777PS,0.56,Tu choi
2026-03-05 10:37:00,30E7779S,0.50,Ra
2026-03-05 10:37:00,E777,0.57,Tu choi
2026-03-05 10:37:03,3UE77E,0.67,Tu choi
2026-03-05 10:37:10,EDE7,0.65,Tu choi
2026-03-05 10:37:19,EDE77ES,0.57,Tu choi
2026-03-05 10:37:20,BUEII796,0.77,Tu choi
2026-03-05 10:37:21,B0E77I9S,0.72,Tu choi
2026-03-05 10:37:21,B0E7779S,0.67,Tu choi
2026-03-05 10:37:22,3UE7779S,0.68,Tu choi
2026-03-05 10:37:22,30E7779S,0.56,Vao
2026-03-05 10:37:22,B0E7779S,0.62,Tu choi
2026-03-05 10:37:23,BUE7779S,0.60,Tu choi
2026-03-05 10:37:23,3UE7779S,0.68,Tu choi
2026-03-05 10:37:24,B0E7779S,0.62,Tu choi
2026-03-05 10:37:24,3UE7779S,0.67,Tu choi
2026-03-05 10:37:24,30E7779S,0.66,Ra
2026-03-05 10:37:28,3UE7779S,0.56,Tu choi
2026-03-05 10:37:29,30E7779S,0.57,Vao
2026-03-05 10:37:29,0E7779S,0.59,Tu choi
2026-03-05 10:37:30,30E7779S,0.63,Ra
2026-03-05 10:37:31,30E77796,0.59,Vao
2026-03-05 10:37:31,3UE7779S,0.59,Tu choi
2026-03-05 10:37:31,30E7779S,0.54,Vao
2026-03-05 10:37:32,3UE7779S,0.57,Tu choi
2026-03-05 10:37:32,30E7779S,0.58,Ra
2026-03-05 10:37:33,3UE7779S,0.66,Tu choi
2026-03-05 10:37:33,30E7779S,0.65,Vao
2026-03-05 10:37:34,3UE7779S,0.65,Tu choi
2026-03-05 10:37:34,30E7779S,0.63,Ra
2026-03-05 10:37:35,3UE7779S,0.62,Tu choi
2026-03-05 10:37:36,30E7779S,0.54,Vao
2026-03-05 10:37:36,3UE7779S,0.64,Tu choi
2026-03-05 10:37:36,30E7779S,0.65,Ra
2026-03-05 10:37:37,3UE7779S,0.54,Tu choi
2026-03-05 10:37:37,30E7779S,0.52,Vao
2026-03-05 10:37:38,EHEU,0.58,Tu choi
2026-03-05 10:37:38,UEEL,0.61,Tu choi
2026-03-05 10:37:39,EIIEU,0.58,Tu choi
2026-03-05 10:37:39,EIIE0,0.53,Tu choi
2026-03-05 10:37:39,UEEZ,0.68,Tu choi
2026-03-05 10:37:40,E7E0,0.67,Tu choi
2026-03-05 10:37:42,77EE0E,0.74,Tu choi
2026-03-05 10:37:42,77E3UE7,0.83,Tu choi
2026-03-05 10:37:42,777EE30E,0.90,Tu choi
2026-03-05 10:37:43,773UE7,0.88,Tu choi
2026-03-05 10:37:43,77ES3UE7,0.90,Tu choi
2026-03-05 10:37:43,777ESE3UE,0.90,Tu choi
2026-03-05 10:37:43,77ES30E7,0.91,Tu choi
2026-03-05 10:37:44,77ESBUE7,0.87,Tu choi
2026-03-05 10:37:44,30E7779S,0.76,Ra
2026-03-05 10:37:44,3UE7779S,0.80,Tu choi
2026-03-05 10:37:45,30E7779S,0.78,Vao
2026-03-05 10:37:52,0E777SS,0.64,Tu choi
2026-03-05 10:37:53,3UE777ES,0.62,Tu choi
2026-03-05 10:37:53,30E7779S,0.70,Ra
2026-03-05 10:37:53,3DE7779S,0.72,Tu choi
2026-03-05 10:37:54,3UE7779,0.51,Tu choi
2026-03-05 10:37:54,30E7779S,0.72,Vao
2026-03-05 10:37:55,30E7179S,0.68,Tu choi
2026-03-05 10:37:55,30E7719S,0.68,Tu choi
2026-03-05 10:37:55,30E7779S,0.62,Ra
2026-03-05 10:38:05,BUE7779S,0.60,Tu choi
2026-03-05 10:38:05,BUE77I9S,0.68,Tu choi
2026-03-05 10:38:05,B0E7779S,0.54,Tu choi
2026-03-05 10:38:05,3UE777BS,0.61,Tu choi
2026-03-05 10:38:06,30E7779S,0.55,Vao
2026-03-05 10:44:58,75HD700UB,0.86,Tu choi
2026-03-05 10:44:58,75HD7U07H,0.78,Tu choi
2026-03-05 10:44:59,75HDZ0U7,0.81,Tu choi
2026-03-05 10:44:59,Z5HDL007,0.77,Tu choi
2026-03-05 10:44:59,Z5LUU75,0.68,Tu choi
2026-03-05 10:45:00,75HD1UU7,0.64,Tu choi
2026-03-05 10:45:00,75HDZ007H,0.73,Tu choi
2026-03-05 10:45:01,75HD700U,0.78,Tu choi
2026-03-05 10:45:01,75HB7007,0.74,Tu choi
2026-03-05 10:45:01,75HBF1UU,0.84,Tu choi
2026-03-05 10:45:02,75HGFQU0,0.66,Tu choi
2026-03-05 10:45:03,75HGUU0,0.67,Tu choi
2026-03-05 10:45:03,75HDUQ0U,0.69,Tu choi
2026-03-05 10:45:03,75HDFUU,0.79,Tu choi
2026-03-05 10:45:03,75HDWU0,0.80,Tu choi
2026-03-05 10:45:04,75HDUW00B,0.70,Tu choi
2026-03-05 10:45:04,75HDUWUUU9,0.71,Tu choi
2026-03-05 10:45:04,75HDTW00U,0.73,Tu choi
2026-03-05 10:45:05,75HDUW00,0.78,Tu choi
2026-03-05 10:45:05,75HDUWU0U,0.81,Tu choi
2026-03-05 10:45:05,75HDTW009,0.72,Tu choi
2026-03-05 10:45:05,75HDUQ00,0.80,Tu choi
2026-03-05 10:45:06,75HDTQU0U,0.78,Tu choi
2026-03-05 10:45:06,75HDTW00U,0.73,Tu choi
2026-03-05 10:45:06,75HDWU0U9,0.78,Tu choi
2026-03-05 10:45:07,75HDW0UU9,0.82,Tu choi
2026-03-05 10:45:07,75HD7W00U9,0.74,Tu choi
2026-03-05 10:45:07,75H0TWU0U,0.84,Tu choi
2026-03-05 10:45:08,75HD7WUUU,0.83,Tu choi
2026-03-05 10:45:08,75HD7W00U3,0.67,Tu choi
2026-03-05 10:45:09,75HLUUC,0.60,Tu choi
2026-03-05 10:45:12,0E777SE,0.51,Tu choi
2026-03-05 10:45:13,E077Z,0.57,Tu choi
2026-03-05 10:45:13,30E7779E,0.72,Vao
2026-03-05 10:45:13,3UE7779E,0.68,Tu choi
2026-03-05 10:45:14,3UE7779,0.63,Tu choi
2026-03-05 10:45:14,3UE7779E,0.64,Tu choi
2026-03-05 10:45:14,30E7779E,0.60,Ra
2026-03-05 10:45:15,3UE7779,0.64,Tu choi
2026-03-05 10:45:15,30E7779,0.76,Vao
2026-03-05 10:45:15,3UE7779,0.74,Tu choi
2026-03-05 10:45:17,3UE77Z9,0.65,Tu choi
2026-03-05 10:45:17,3UE7779,0.67,Tu choi
2026-03-05 10:45:19,3UE77Z9,0.68,Tu choi
2026-03-05 10:45:19,3UE7779G,0.67,Tu choi
2026-03-05 10:45:19,3UE77Z9,0.64,Tu choi
2026-03-05 10:45:20,3UE7779,0.71,Tu choi
2026-03-05 10:45:20,3UE77Z9E,0.65,Tu choi
2026-03-05 10:45:20,3UE77Z9,0.63,Tu choi
2026-03-05 10:45:22,30E77ZP,0.67,Tu choi
2026-03-05 10:45:23,30E7779,0.65,Ra
2026-03-05 10:45:23,3UE77Z9,0.70,Tu choi
2026-03-05 10:45:24,30E7779,0.65,Vao
2026-03-05 10:45:24,3UE7779,0.68,Tu choi
2026-03-05 10:45:25,30E7779,0.71,Ra
2026-03-05 10:45:25,3UE7779E,0.66,Tu choi
2026-03-05 10:45:25,3UE7779,0.70,Tu choi
2026-03-05 10:45:26,3UE77793,0.67,Tu choi
2026-03-05 10:45:26,3UE7779G,0.71,Tu choi
2026-03-05 10:45:26,E0E77796,0.57,Vao
2026-03-05 10:45:26,E0E7779E,0.54,Tu choi
2026-03-05 10:45:27,3UE77Z9E,0.56,Tu choi
2026-03-05 10:45:27,3UE7779E,0.66,Tu choi
2026-03-05 10:45:27,3UE77Z9,0.58,Tu choi
